Year,Month,Day,Data
1987,3,17,0
1987,3,18,0
1987,3,19,0
1987,3,20,0
1987,3,21,0
1987,3,22,0
1987,3,23,0
1987,3,24,0
1987,3,25,0
1987,3,26,0
1987,3,27,0
1987,3,28,0
1987,3,29,0
1987,3,30,0
1987,3,31,0
1987,4,1,0
1987,4,2,0
1987,4,3,0
1987,4,4,0
1987,4,5,0
1987,4,6,0
1987,4,7,0
1987,4,8,0
1987,4,9,0
1987,4,10,0
1987,4,11,0
1987,4,12,0
1987,4,13,0
1987,4,14,0
1987,4,15,0
1987,4,16,0
1987,4,17,0
1987,4,18,0
1987,4,19,0
1987,4,20,0
1987,4,21,0
1987,4,22,0
1987,4,23,0
1987,4,24,0
1987,4,25,0
1987,4,26,0
1987,4,27,0
1987,4,28,0
1987,4,29,0
1987,4,30,0
1987,5,1,0
1987,5,2,0
1987,5,3,0
1987,5,4,0
1987,5,5,0
1987,5,6,0
1987,5,7,0
1987,5,8,0
1987,5,9,0
1987,5,10,0
1987,5,11,0
1987,5,12,0
1987,5,13,0
1987,5,14,0
1987,5,15,0
1987,5,16,0
1987,5,17,0
1987,5,18,0
1987,5,19,0
1987,5,20,0
1987,5,21,0
1987,5,22,0
1987,5,23,0
1987,5,24,0
1987,5,25,0
1987,5,26,0
1987,5,27,0
1987,5,28,0
1987,5,29,0
1987,5,30,0
1987,5,31,0
1987,6,1,0
1987,6,2,0
1987,6,3,0
1987,6,4,0
1987,6,5,0
1987,6,6,0
1987,6,7,0
1987,6,8,0
1987,6,9,0
1987,6,10,0
1987,6,11,0
1987,6,12,0
1987,6,13,0
1987,6,14,0
1987,6,15,0
1987,6,16,0
1987,6,17,0
1987,6,18,0
1987,6,19,0
1987,6,20,0
1987,6,21,0
1987,6,22,0
1987,6,23,0
1987,6,24,0
1987,6,25,0
1987,6,26,0
1987,6,27,0
1987,6,28,0
1987,6,29,0
1987,6,30,0
1987,7,1,0
1987,7,2,0
1987,7,3,0
1987,7,4,0
1987,7,5,0
1987,7,6,0
1987,7,7,0
1987,7,8,0
1987,7,9,0
1987,7,10,0
1987,7,11,0
1987,7,12,0
1987,7,13,0
1987,7,14,0
1987,7,15,0
1987,7,16,0
1987,7,17,0
1987,7,18,0
1987,7,19,0
1987,7,20,0
1987,7,21,0
1987,7,22,0
1987,7,23,0
1987,7,24,0
1987,7,25,0
1987,7,26,0
1987,7,27,0
1987,7,28,0
1987,7,29,0
1987,7,30,0
1987,7,31,0
1987,8,1,0
1987,8,2,0
1987,8,3,0
1987,8,4,0
1987,8,5,0
1987,8,6,0
1987,8,7,0
1987,8,8,0
1987,8,9,0
1987,8,10,0
1987,8,11,0
1987,8,12,0
1987,8,13,0
1987,8,14,0
1987,8,15,0
1987,8,16,0
1987,8,17,0
1987,8,18,0
1987,8,19,0
1987,8,20,0
1987,8,21,0
1987,8,22,0
1987,8,23,0
1987,8,24,0
1987,8,25,0
1987,8,26,0
1987,8,27,0
1987,8,28,0
1987,8,29,0
1987,8,30,0
1987,8,31,0
1987,9,1,0
1987,9,2,0
1987,9,3,0
1987,9,4,0
1987,9,5,0
1987,9,6,0
1987,9,7,0
1987,9,8,0
1987,9,9,0
1987,9,10,0
1987,9,11,0
1987,9,12,0
1987,9,13,0
1987,9,14,0
1987,9,15,0
1987,9,16,0
1987,9,17,0
1987,9,18,0
1987,9,19,0
1987,9,20,0
1987,9,21,0
1987,9,22,0
1987,9,23,0
1987,9,24,0
1987,9,25,0
1987,9,26,0
1987,9,27,0
1987,9,28,0
1987,9,29,0
1987,9,30,0
1987,10,1,0
1987,10,2,0
1987,10,3,0
1987,10,4,0
1987,10,5,0
1987,10,6,0
1987,10,7,0
1987,10,8,0
1987,10,9,0
1987,10,10,0
1987,10,11,0
1987,10,12,0
1987,10,13,0
1987,10,14,0
1987,10,15,0
1987,10,16,0
1987,10,17,0
1987,10,18,0
1987,10,19,0
1987,10,20,0
1987,10,21,0
1987,10,22,0
1987,10,23,0
1987,10,24,0
1987,10,25,0
1987,10,26,0
1987,10,27,0
1987,10,28,0
1987,10,29,0
1987,10,30,0
1987,10,31,0
1987,11,1,0
1987,11,2,0
1987,11,3,0
1987,11,4,0
1987,11,5,0
1987,11,6,0
1987,11,7,0
1987,11,8,0
1987,11,9,0
1987,11,10,0
1987,11,11,0
1987,11,12,0
1987,11,13,0
1987,11,14,0
1987,11,15,0
1987,11,16,0
1987,11,17,0
1987,11,18,0
1987,11,19,0
1987,11,20,0
1987,11,21,0
1987,11,22,0
1987,11,23,0
1987,11,24,0
1987,11,25,0
1987,11,26,0
1987,11,27,0
1987,11,28,0
1987,11,29,0
1987,11,30,0
1987,12,1,0
1987,12,2,0
1987,12,3,0
1987,12,4,0
1987,12,5,0
1987,12,6,0
1987,12,7,0
1987,12,8,0
1987,12,9,0
1987,12,10,0
1987,12,11,0
1987,12,12,0
1987,12,13,0
1987,12,14,0
1987,12,15,0
1987,12,16,0
1987,12,17,0
1987,12,18,0
1987,12,19,0
1987,12,20,0
1987,12,21,0
1987,12,22,0
1987,12,23,0
1987,12,24,0
1987,12,25,0
1987,12,26,0
1987,12,27,0
1987,12,28,0
1987,12,29,0
1987,12,30,0
1987,12,31,0
1988,1,1,0
1988,1,2,0
1988,1,3,0
1988,1,4,0
1988,1,5,0
1988,1,6,0
1988,1,7,0
1988,1,8,0
1988,1,9,0
1988,1,10,0
1988,1,11,0
1988,1,12,0
1988,1,13,0
1988,1,14,0
1988,1,15,0
1988,1,16,0
1988,1,17,0
1988,1,18,0
1988,1,19,0
1988,1,20,0
1988,1,21,0
1988,1,22,0
1988,1,23,0
1988,1,24,0
1988,1,25,0
1988,1,26,0
1988,1,27,0
1988,1,28,0
1988,1,29,0
1988,1,30,0
1988,1,31,0
1988,2,1,0
1988,2,2,0
1988,2,3,0
1988,2,4,0
1988,2,5,0
1988,2,6,0
1988,2,7,0
1988,2,8,0
1988,2,9,0
1988,2,10,0
1988,2,11,0
1988,2,12,0
1988,2,13,0
1988,2,14,0
1988,2,15,0
1988,2,16,0
1988,2,17,0
1988,2,18,0
1988,2,19,0
1988,2,20,0
1988,2,21,0
1988,2,22,0
1988,2,23,0
1988,2,24,0
1988,2,25,0
1988,2,26,0
1988,2,27,0
1988,2,28,0
1988,2,29,0
1988,3,1,0
1988,3,2,0
1988,3,3,0
1988,3,4,0
1988,3,5,0
1988,3,6,0
1988,3,7,0
1988,3,8,0
1988,3,9,0
1988,3,10,0
1988,3,11,0
1988,3,12,0
1988,3,13,0
1988,3,14,0
1988,3,15,0
1988,3,16,0
1988,3,17,0
1988,3,18,0
1988,3,19,0
1988,3,20,0
1988,3,21,0
1988,3,22,0
1988,3,23,0
1988,3,24,0
1988,3,25,0
1988,3,26,0
1988,3,27,0
1988,3,28,0
1988,3,29,0
1988,3,30,0
1988,3,31,0
1988,4,1,0
1988,4,2,0
1988,4,3,0
1988,4,4,0
1988,4,5,0
1988,4,6,0
1988,4,7,0
1988,4,8,0
1988,4,9,0
1988,4,10,0
1988,4,11,0
1988,4,12,0
1988,4,13,0
1988,4,14,0
1988,4,15,0
1988,4,16,0
1988,4,17,0
1988,4,18,0
1988,4,19,0
1988,4,20,0
1988,4,21,0
1988,4,22,0
1988,4,23,0
1988,4,24,0
1988,4,25,0
1988,4,26,0
1988,4,27,0
1988,4,28,0
1988,4,29,0
1988,4,30,0
1988,5,1,0
1988,5,2,0
1988,5,3,0
1988,5,4,0
1988,5,5,0
1988,5,6,0
1988,5,7,0
1988,5,8,0
1988,5,9,0
1988,5,10,0
1988,5,11,0
1988,5,12,0
1988,5,13,0
1988,5,14,0
1988,5,15,0
1988,5,16,0
1988,5,17,0
1988,5,18,0
1988,5,19,0
1988,5,20,0
1988,5,21,0
1988,5,22,0
1988,5,23,0
1988,5,24,0
1988,5,25,0
1988,5,26,0
1988,5,27,0
1988,5,28,0
1988,5,29,0
1988,5,30,0
1988,5,31,0
1988,6,1,0
1988,6,2,0
1988,6,3,0
1988,6,4,0
1988,6,5,0
1988,6,6,0
1988,6,7,0
1988,6,8,0
1988,6,9,0
1988,6,10,0
1988,6,11,0
1988,6,12,0
1988,6,13,0
1988,6,14,0
1988,6,15,0
1988,6,16,0
1988,6,17,0
1988,6,18,0
1988,6,19,0
1988,6,20,0
1988,6,21,0
1988,6,22,0
1988,6,23,0
1988,6,24,0
1988,6,25,0
1988,6,26,0
1988,6,27,0
1988,6,28,0
1988,6,29,0
1988,6,30,0
1988,7,1,0
1988,7,2,0
1988,7,3,0
1988,7,4,0
1988,7,5,0
1988,7,6,0
1988,7,7,0
1988,7,8,0
1988,7,9,0
1988,7,10,0
1988,7,11,0
1988,7,12,0
1988,7,13,0
1988,7,14,0
1988,7,15,0
1988,7,16,0
1988,7,17,0
1988,7,18,0
1988,7,19,0
1988,7,20,0
1988,7,21,0
1988,7,22,0
1988,7,23,0
1988,7,24,0
1988,7,25,0
1988,7,26,0
1988,7,27,0
1988,7,28,0
1988,7,29,0
1988,7,30,0
1988,7,31,0
1988,8,1,0
1988,8,2,0
1988,8,3,0
1988,8,4,0
1988,8,5,0
1988,8,6,0
1988,8,7,0
1988,8,8,0
1988,8,9,0
1988,8,10,0
1988,8,11,0
1988,8,12,0
1988,8,13,0
1988,8,14,0
1988,8,15,0
1988,8,16,0
1988,8,17,0
1988,8,18,0
1988,8,19,0
1988,8,20,0
1988,8,21,0
1988,8,22,0
1988,8,23,0
1988,8,24,0
1988,8,25,0
1988,8,26,0
1988,8,27,0
1988,8,28,0
1988,8,29,0
1988,8,30,0
1988,8,31,0
1988,9,1,0
1988,9,2,0
1988,9,3,0
1988,9,4,0
1988,9,5,0
1988,9,6,0
1988,9,7,0
1988,9,8,0
1988,9,9,0
1988,9,10,0
1988,9,11,0
1988,9,12,0
1988,9,13,0
1988,9,14,0
1988,9,15,0
1988,9,16,0
1988,9,17,0
1988,9,18,0
1988,9,19,0
1988,9,20,0
1988,9,21,0
1988,9,22,0
1988,9,23,0
1988,9,24,0
1988,9,25,0
1988,9,26,0
1988,9,27,0
1988,9,28,0
1988,9,29,0
1988,9,30,0
1988,10,1,0
1988,10,2,0
1988,10,3,0
1988,10,4,0
1988,10,5,0
1988,10,6,0
1988,10,7,0
1988,10,8,0
1988,10,9,0
1988,10,10,0
1988,10,11,0
1988,10,12,0
1988,10,13,0
1988,10,14,0
1988,10,15,0
1988,10,16,0
1988,10,17,0
1988,10,18,0
1988,10,19,0
1988,10,20,0
1988,10,21,0
1988,10,22,0
1988,10,23,0
1988,10,24,0
1988,10,25,0
1988,10,26,0
1988,10,27,0
1988,10,28,0
1988,10,29,0
1988,10,30,0
1988,10,31,0
1988,11,1,0
1988,11,2,0
1988,11,3,0
1988,11,4,0
1988,11,5,0
1988,11,6,0
1988,11,7,0
1988,11,8,0
1988,11,9,0
1988,11,10,0
1988,11,11,0
1988,11,12,0
1988,11,13,0
1988,11,14,0
1988,11,15,0
1988,11,16,0
1988,11,17,0
1988,11,18,0
1988,11,19,0
1988,11,20,0
1988,11,21,0
1988,11,22,0
1988,11,23,0
1988,11,24,0
1988,11,25,0
1988,11,26,0
1988,11,27,0
1988,11,28,0
1988,11,29,0
1988,11,30,0
1988,12,1,0
1988,12,2,0
1988,12,3,0
1988,12,4,0
1988,12,5,0
1988,12,6,0
1988,12,7,0
1988,12,8,0
1988,12,9,0
1988,12,10,0
1988,12,11,0
1988,12,12,0
1988,12,13,0
1988,12,14,0
1988,12,15,0
1988,12,16,0
1988,12,17,0
1988,12,18,0
1988,12,19,0
1988,12,20,0
1988,12,21,0
1988,12,22,0
1988,12,23,0
1988,12,24,0
1988,12,25,0
1988,12,26,0
1988,12,27,0
1988,12,28,0
1988,12,29,0
1988,12,30,0
1988,12,31,0
1989,1,1,0
1989,1,2,0
1989,1,3,0
1989,1,4,0
1989,1,5,0
1989,1,6,0
1989,1,7,0
1989,1,8,0
1989,1,9,0
1989,1,10,0
1989,1,11,0
1989,1,12,0
1989,1,13,0
1989,1,14,0
1989,1,15,0
1989,1,16,0
1989,1,17,0
1989,1,18,0
1989,1,19,0
1989,1,20,0
1989,1,21,0
1989,1,22,0
1989,1,23,0
1989,1,24,0
1989,1,25,0
1989,1,26,0
1989,1,27,0
1989,1,28,0
1989,1,29,0
1989,1,30,0
1989,1,31,0
1989,2,1,0
1989,2,2,0
1989,2,3,0
1989,2,4,0
1989,2,5,0
1989,2,6,0
1989,2,7,0
1989,2,8,0
1989,2,9,0
1989,2,10,0
1989,2,11,0
1989,2,12,0
1989,2,13,0
1989,2,14,0
1989,2,15,0
1989,2,16,0
1989,2,17,0
1989,2,18,0
1989,2,19,0
1989,2,20,0
1989,2,21,0
1989,2,22,0
1989,2,23,0
1989,2,24,0
1989,2,25,0
1989,2,26,0
1989,2,27,0
1989,2,28,0
1989,3,1,0
1989,3,2,0
1989,3,3,0
1989,3,4,0
1989,3,5,0
1989,3,6,0
1989,3,7,0
1989,3,8,0
1989,3,9,13.2
1989,3,10,0
1989,3,11,0
1989,3,12,0
1989,3,13,0
1989,3,14,4.4
1989,3,15,16.6
1989,3,16,0
1989,3,17,0
1989,3,18,0
1989,3,19,0
1989,3,20,0
1989,3,21,7
1989,3,22,0
1989,3,23,7
1989,3,24,0
1989,3,25,0
1989,3,26,0
1989,3,27,0
1989,3,28,13
1989,3,29,0
1989,3,30,0
1989,3,31,0
1989,4,1,0
1989,4,2,0
1989,4,3,13.4
1989,4,4,0
1989,4,5,0
1989,4,6,0
1989,4,7,0
1989,4,8,0
1989,4,9,0
1989,4,10,0
1989,4,11,0
1989,4,12,0
1989,4,13,0
1989,4,14,0
1989,4,15,0
1989,4,16,0
1989,4,17,0
1989,4,18,0
1989,4,19,0
1989,4,20,0
1989,4,21,1
1989,4,22,5.4
1989,4,23,0
1989,4,24,12.2
1989,4,25,66.6
1989,4,26,0
1989,4,27,0
1989,4,28,0
1989,4,29,0
1989,4,30,0
1989,5,1,0
1989,5,2,6
1989,5,3,4.2
1989,5,4,1
1989,5,5,0.6
1989,5,6,0
1989,5,7,3
1989,5,8,0
1989,5,9,0
1989,5,10,0
1989,5,11,7.6
1989,5,12,0
1989,5,13,0
1989,5,14,0
1989,5,15,0
1989,5,16,0
1989,5,17,0
1989,5,18,0
1989,5,19,0
1989,5,20,0
1989,5,21,0
1989,5,22,0
1989,5,23,0
1989,5,24,0
1989,5,25,0
1989,5,26,0
1989,5,27,0
1989,5,28,0
1989,5,29,0
1989,5,30,0
1989,5,31,0
1989,6,1,18.8
1989,6,2,1.4
1989,6,3,4
1989,6,4,0
1989,6,5,18
1989,6,6,34
1989,6,7,12.6
1989,6,8,62
1989,6,9,15.8
1989,6,10,25
1989,6,11,23
1989,6,12,119
1989,6,13,40.5
1989,6,14,16
1989,6,15,26.4
1989,6,16,6.2
1989,6,17,46.6
1989,6,18,6.4
1989,6,19,1.2
1989,6,20,1
1989,6,21,25.6
1989,6,22,14.6
1989,6,23,5
1989,6,24,2
1989,6,25,7.4
1989,6,26,13
1989,6,27,9
1989,6,28,18.6
1989,6,29,34
1989,6,30,30
1989,7,1,19.4
1989,7,2,5.4
1989,7,3,0
1989,7,4,0
1989,7,5,0
1989,7,6,0
1989,7,7,8.6
1989,7,8,16
1989,7,9,0
1989,7,10,3.6
1989,7,11,0.6
1989,7,12,26
1989,7,13,52
1989,7,14,5.8
1989,7,15,11.6
1989,7,16,7
1989,7,17,27.4
1989,7,18,18
1989,7,19,19.4
1989,7,20,27.6
1989,7,21,43.6
1989,7,22,111.6
1989,7,23,195
1989,7,24,140.8
1989,7,25,52
1989,7,26,93.4
1989,7,27,30
1989,7,28,9
1989,7,29,2.2
1989,7,30,0
1989,7,31,0
1989,8,1,0
1989,8,2,5.4
1989,8,3,24
1989,8,4,56
1989,8,5,90
1989,8,6,48
1989,8,7,2
1989,8,8,5
1989,8,9,7.4
1989,8,10,16.6
1989,8,11,34.8
1989,8,12,68.6
1989,8,13,42
1989,8,14,20.2
1989,8,15,27.4
1989,8,16,31
1989,8,17,55
1989,8,18,49
1989,8,19,49.2
1989,8,20,22.4
1989,8,21,11.4
1989,8,22,22
1989,8,23,26
1989,8,24,65.4
1989,8,25,48.6
1989,8,26,30.2
1989,8,27,15.4
1989,8,28,15
1989,8,29,25
1989,8,30,11
1989,8,31,8.6
1989,9,1,0
1989,9,2,0
1989,9,3,0
1989,9,4,32
1989,9,5,0
1989,9,6,0
1989,9,7,1.2
1989,9,8,1
1989,9,9,0
1989,9,10,0
1989,9,11,0
1989,9,12,5.8
1989,9,13,10.2
1989,9,14,0.2
1989,9,15,0
1989,9,16,2.4
1989,9,17,0
1989,9,18,19
1989,9,19,14.6
1989,9,20,4.4
1989,9,21,1
1989,9,22,65
1989,9,23,12
1989,9,24,0.6
1989,9,25,29
1989,9,26,0
1989,9,27,29.4
1989,9,28,3.8
1989,9,29,1
1989,9,30,0
1989,10,1,0
1989,10,2,5.6
1989,10,3,0
1989,10,4,0
1989,10,5,0
1989,10,6,0.2
1989,10,7,0
1989,10,8,2.2
1989,10,9,13
1989,10,10,0
1989,10,11,0
1989,10,12,0
1989,10,13,0
1989,10,14,0
1989,10,15,0
1989,10,16,0
1989,10,17,0
1989,10,18,0
1989,10,19,2
1989,10,20,0
1989,10,21,0
1989,10,22,0
1989,10,23,0
1989,10,24,0
1989,10,25,0
1989,10,26,0
1989,10,27,4
1989,10,28,19
1989,10,29,0
1989,10,30,15.6
1989,10,31,50
1989,11,1,0
1989,11,2,0
1989,11,3,0
1989,11,4,0
1989,11,5,0
1989,11,6,0
1989,11,7,0
1989,11,8,0
1989,11,9,0
1989,11,10,0
1989,11,11,0
1989,11,12,0
1989,11,13,0
1989,11,14,20
1989,11,15,10.4
1989,11,16,0
1989,11,17,0
1989,11,18,0
1989,11,19,0
1989,11,20,0
1989,11,21,0
1989,11,22,0
1989,11,23,0
1989,11,24,0
1989,11,25,0
1989,11,26,0
1989,11,27,0
1989,11,28,0
1989,11,29,0
1989,11,30,0
1989,12,1,0
1989,12,2,0
1989,12,3,0
1989,12,4,0
1989,12,5,0
1989,12,6,0
1989,12,7,0
1989,12,8,0
1989,12,9,0
1989,12,10,0
1989,12,11,0
1989,12,12,0
1989,12,13,0
1989,12,14,0
1989,12,15,0
1989,12,16,0
1989,12,17,0
1989,12,18,0
1989,12,19,0
1989,12,20,0
1989,12,21,0
1989,12,22,0
1989,12,23,0
1989,12,24,0
1989,12,25,0
1989,12,26,0
1989,12,27,0
1989,12,28,0
1989,12,29,0
1989,12,30,0
1989,12,31,0
1990,1,1,0
1990,1,2,0
1990,1,3,0
1990,1,4,0
1990,1,5,0
1990,1,6,0
1990,1,7,0
1990,1,8,0
1990,1,9,0
1990,1,10,0
1990,1,11,0
1990,1,12,0
1990,1,13,0
1990,1,14,0
1990,1,15,0
1990,1,16,0
1990,1,17,0
1990,1,18,0
1990,1,19,0
1990,1,20,0
1990,1,21,0
1990,1,22,0
1990,1,23,0
1990,1,24,0
1990,1,25,0
1990,1,26,0
1990,1,27,0
1990,1,28,0
1990,1,29,0
1990,1,30,0
1990,1,31,0
1990,2,1,0
1990,2,2,0
1990,2,3,0
1990,2,4,0
1990,2,5,0
1990,2,6,0
1990,2,7,0
1990,2,8,0
1990,2,9,0
1990,2,10,0
1990,2,11,0
1990,2,12,0
1990,2,13,0
1990,2,14,0
1990,2,15,0
1990,2,16,0
1990,2,17,0
1990,2,18,0
1990,2,19,0
1990,2,20,0
1990,2,21,0
1990,2,22,0
1990,2,23,0
1990,2,24,0
1990,2,25,0
1990,2,26,0
1990,2,27,0
1990,2,28,0
1990,3,1,0
1990,3,2,0
1990,3,3,0
1990,3,4,0
1990,3,5,0
1990,3,6,0
1990,3,7,0
1990,3,8,0
1990,3,9,0
1990,3,10,0
1990,3,11,0
1990,3,12,0
1990,3,13,0
1990,3,14,0
1990,3,15,0
1990,3,16,0
1990,3,17,0
1990,3,18,0
1990,3,19,0
1990,3,20,0
1990,3,21,0
1990,3,22,0
1990,3,23,0
1990,3,24,0
1990,3,25,0
1990,3,26,0
1990,3,27,0
1990,3,28,0
1990,3,29,0
1990,3,30,0
1990,3,31,3
1990,4,1,0
1990,4,2,0
1990,4,3,0
1990,4,4,0
1990,4,5,0
1990,4,6,0
1990,4,7,0
1990,4,8,0
1990,4,9,0
1990,4,10,0
1990,4,11,0
1990,4,12,0
1990,4,13,0
1990,4,14,0
1990,4,15,0
1990,4,16,9
1990,4,17,0
1990,4,18,0
1990,4,19,0
1990,4,20,0
1990,4,21,0
1990,4,22,0
1990,4,23,0
1990,4,24,0
1990,4,25,2
1990,4,26,0
1990,4,27,0
1990,4,28,0
1990,4,29,3
1990,4,30,43
1990,5,1,38
1990,5,2,0
1990,5,3,0
1990,5,4,2
1990,5,5,27
1990,5,6,0
1990,5,7,8
1990,5,8,0
1990,5,9,2
1990,5,10,0
1990,5,11,0
1990,5,12,0
1990,5,13,0
1990,5,14,0
1990,5,15,0
1990,5,16,0
1990,5,17,0
1990,5,18,0
1990,5,19,2
1990,5,20,3
1990,5,21,11.4
1990,5,22,3
1990,5,23,0
1990,5,24,0
1990,5,25,0
1990,5,26,0
1990,5,27,23
1990,5,28,25
1990,5,29,55
1990,5,30,22
1990,5,31,35
1990,6,1,0
1990,6,2,4
1990,6,3,24
1990,6,4,27
1990,6,5,2.6
1990,6,6,0
1990,6,7,0
1990,6,8,8
1990,6,9,0
1990,6,10,22
1990,6,11,9
1990,6,12,55
1990,6,13,40
1990,6,14,62
1990,6,15,59
1990,6,16,21
1990,6,17,52
1990,6,18,19
1990,6,19,16
1990,6,20,30
1990,6,21,5
1990,6,22,34.2
1990,6,23,18
1990,6,24,10
1990,6,25,9
1990,6,26,20
1990,6,27,60
1990,6,28,14
1990,6,29,18
1990,6,30,32
1990,7,1,20
1990,7,2,100.2
1990,7,3,45.6
1990,7,4,27
1990,7,5,20
1990,7,6,18
1990,7,7,14
1990,7,8,10
1990,7,9,4
1990,7,10,22.6
1990,7,11,20
1990,7,12,35.4
1990,7,13,14.6
1990,7,14,8
1990,7,15,19
1990,7,16,24
1990,7,17,19
1990,7,18,75
1990,7,19,120
1990,7,20,15
1990,7,21,8
1990,7,22,41
1990,7,23,60
1990,7,24,40
1990,7,25,41
1990,7,26,15.3
1990,7,27,3.6
1990,7,28,3
1990,7,29,4.4
1990,7,30,5
1990,7,31,24
1990,8,1,24.2
1990,8,2,40.2
1990,8,3,26.6
1990,8,4,15
1990,8,5,3
1990,8,6,10
1990,8,7,14.2
1990,8,8,17
1990,8,9,23
1990,8,10,28.4
1990,8,11,33
1990,8,12,39.2
1990,8,13,43
1990,8,14,119
1990,8,15,186
1990,8,16,82
1990,8,17,135
1990,8,18,69.4
1990,8,19,10.4
1990,8,20,32.4
1990,8,21,57
1990,8,22,27.4
1990,8,23,85.2
1990,8,24,49
1990,8,25,42
1990,8,26,16.2
1990,8,27,20
1990,8,28,11
1990,8,29,18
1990,8,30,17
1990,8,31,8
1990,9,1,7
1990,9,2,2
1990,9,3,1
1990,9,4,8
1990,9,5,29
1990,9,6,17
1990,9,7,45.6
1990,9,8,7
1990,9,9,0
1990,9,10,0
1990,9,11,3
1990,9,12,5
1990,9,13,0
1990,9,14,8
1990,9,15,0
1990,9,16,0
1990,9,17,0
1990,9,18,0
1990,9,19,0
1990,9,20,0
1990,9,21,0
1990,9,22,12
1990,9,23,5
1990,9,24,0
1990,9,25,0
1990,9,26,0
1990,9,27,0
1990,9,28,0
1990,9,29,0
1990,9,30,0
1990,10,1,4
1990,10,2,0
1990,10,3,5
1990,10,4,0.4
1990,10,5,0
1990,10,6,5.2
1990,10,7,0
1990,10,8,0
1990,10,9,0
1990,10,10,0
1990,10,11,0
1990,10,12,6.6
1990,10,13,0
1990,10,14,2.3
1990,10,15,9
1990,10,16,3
1990,10,17,3.2
1990,10,18,8.4
1990,10,19,0
1990,10,20,0
1990,10,21,0
1990,10,22,0
1990,10,23,22
1990,10,24,45
1990,10,25,24.6
1990,10,26,5
1990,10,27,16
1990,10,28,22
1990,10,29,40
1990,10,30,22
1990,10,31,21.8
1990,11,1,3
1990,11,2,0
1990,11,3,0
1990,11,4,0
1990,11,5,0
1990,11,6,0
1990,11,7,0
1990,11,8,0
1990,11,9,0
1990,11,10,0
1990,11,11,3
1990,11,12,0
1990,11,13,0
1990,11,14,0
1990,11,15,0
1990,11,16,6
1990,11,17,0
1990,11,18,5.4
1990,11,19,5.8
1990,11,20,2
1990,11,21,0
1990,11,22,0
1990,11,23,0
1990,11,24,0
1990,11,25,0
1990,11,26,0
1990,11,27,5
1990,11,28,0
1990,11,29,0
1990,11,30,0
1990,12,1,0
1990,12,2,0
1990,12,3,0
1990,12,4,0
1990,12,5,0
1990,12,6,0
1990,12,7,0
1990,12,8,0
